run,run_label,split,fold,metric,n_rows,n_valid_pairs,n_valid_dates,mean_ic,median_ic,min_ic,max_ic
jo.base,base,oos,21,h9,47678,46562,751,-0.0221142696059,-0.0195160031226,-0.470776359195,0.323814560197
jo.base,base,oos,22,blend,42399,41265,655,0.010254170479,0.00865608592197,-0.345717548175,0.410960233037
jo.base,base,oos,22,h6,42399,41643,661,0.0506411351325,0.0450748847926,-0.319796466974,0.476670506912
jo.base,base,oos,22,h9,42399,41265,655,-0.0553116315475,-0.0648041474654,-0.444556451613,0.42199500768
jo.base,base,oos,23,blend,48447,47313,751,0.0477696525123,0.0473240655265,-0.391611749341,0.42725909026
jo.base,base,oos,23,h6,48447,47691,757,0.0361273531017,0.0342741935484,-0.365783410138,0.419306835637
jo.base,base,oos,23,h9,48447,47313,751,0.0426426439095,0.0520353302611,-0.43202764977,0.415946620584
jo.base,base,oos,24,blend,51471,50337,799,0.0230527193922,0.0331408817587,-0.372360729574,0.416765705124
jo.base,base,oos,24,h6,51471,50715,805,0.0159405462192,0.0207373271889,-0.405040808396,0.412538402458
jo.base,base,oos,24,h9,51471,50337,799,0.0246327254306,0.031490015361,-0.383832565284,0.385560675883
jo.base,base,oos,25,blend,47678,46562,751,0.0622818289342,0.0630132502177,-0.30841109787,0.539990178259
jo.base,base,oos,25,h6,47678,46934,757,0.0450277598587,0.0429609297323,-0.368214955771,0.521128179465
jo.base,base,oos,25,h9,47678,46562,751,0.0502309446029,0.0513730971545,-0.340632358986,0.403339336206
jo.base,base,oos,26,blend,7688,6572,106,-0.142944618425,-0.150533000059,-0.475761661316,0.399030289316
jo.base,base,oos,26,h6,7688,6944,112,-0.104365771094,-0.148749716703,-0.457178111858,0.401173478381
jo.base,base,oos,26,h9,7688,6572,106,-0.106509337933,-0.108824425064,-0.489008083403,0.290020397371
jo.select,select,train,0,blend,80947,79849,1309,0.313500305004,0.333633050162,-0.304572018834,0.742486160096
jo.select,select,train,0,h6,80947,80215,1315,0.282441704049,0.298783712322,-0.285298783712,0.732945531465
jo.select,select,train,0,h9,80947,79849,1309,0.270062295217,0.285381879743,-0.316662039452,0.76234796404
jo.select,select,train,1,blend,80947,79849,1309,0.1003659724,0.110079856307,-0.351192684381,0.605352235246
jo.select,select,train,1,h6,80947,80215,1315,0.164472172369,0.172794457901,-0.402913840779,0.580222104707
jo.select,select,train,1,h9,80947,79849,1309,0.060136653094,0.067424643046,-0.393442622951,0.563987308302
jo.select,select,train,2,blend,82274,81158,1309,0.153365449395,0.147777049029,-0.28177020241,0.570503134285
jo.select,select,train,2,h6,82274,81530,1315,0.178800420373,0.181605173931,-0.293971982657,0.56722902214
jo.select,select,train,2,h9,82274,81158,1309,0.0917332465881,0.0912388133579,-0.422232816145,0.486536982962
jo.select,select,train,3,blend,88226,87110,1405,0.344700893209,0.362807567258,-0.205646789414,0.705076391237
jo.select,select,train,3,h6,88226,87482,1411,0.315650543283,0.328246581552,-0.140691496059,0.718314824608
jo.select,select,train,3,h9,88226,87110,1405,0.30666775639,0.327591851124,-0.265090277253,0.687240311249
jo.select,select,train,4,blend,89649,88515,1405,0.247141758845,0.263603850807,-0.304893125258,0.661594038852
jo.select,select,train,4,h6,89649,88893,1411,0.204656878548,0.213997695853,-0.333717357911,0.599702380952
jo.select,select,train,4,h9,89649,88515,1405,0.237777522403,0.250048003072,-0.317108294931,0.623847926267
jo.select,select,train,5,blend,85380,84300,1405,0.251315143829,0.262841264962,-0.296226312062,0.665786698939
jo.select,select,train,5,h6,85380,84660,1411,0.211226978734,0.222006112809,-0.30158377327,0.651180883579
jo.select,select,train,5,h9,85380,84300,1405,0.23241224579,0.247235343151,-0.29613781606,0.597666018338
jo.select,select,train,6,blend,88226,87110,1405,0.212108011027,0.2143837629,-0.343735049889,0.628428240023
jo.select,select,train,6,h6,88226,87482,1411,0.18929417415,0.196696129536,-0.27611996676,0.639998992722
jo.select,select,train,6,h9,88226,87110,1405,0.191598122055,0.18924227544,-0.291027674952,0.561783888595
jo.select,select,train,7,blend,89649,88515,1405,0.060090781219,0.0644487651991,-0.363487971778,0.428664010863
jo.select,select,train,7,h6,89649,88893,1411,0.115733454601,0.126920122888,-0.460781490015,0.490399385561
jo.select,select,train,7,h9,89649,88515,1405,0.0346621137026,0.0405145929339,-0.422043010753,0.424971198157
jo.select,select,train,8,blend,88226,87110,1405,0.153457696213,0.162964642351,-0.307717491827,0.553817872035
jo.select,select,train,8,h6,88226,87482,1411,0.087314238164,0.0937653482696,-0.343788166885,0.491582830776
jo.select,select,train,8,h9,88226,87110,1405,0.214786979145,0.229986653572,-0.433081079217,0.606859560323
jo.select,select,train,9,blend,86803,85705,1405,0.277562584419,0.300995653001,-0.330627249575,0.698919760075
jo.select,select,train,9,h6,86803,86071,1411,0.165662271789,0.165573770492,-0.408218309313,0.645266206201
jo.select,select,train,9,h9,86803,85705,1405,0.293284572413,0.31776837652,-0.233844526705,0.720941300899
jo.select,select,train,10,blend,88226,87110,1405,0.247421000231,0.263725194668,-0.237869157268,0.632933719287
jo.select,select,train,10,h6,88226,87482,1411,0.172727681723,0.183170638049,-0.334648590667,0.617241793647
jo.select,select,train,10,h9,88226,87110,1405,0.254821996397,0.270378484551,-0.235425952507,0.689053410894
jo.select,select,train,11,blend,89731,88633,1453,0.216414060679,0.222677632454,-0.243223947668,0.620160781976
jo.select,select,train,11,h6,89731,88999,1459,0.1644009772,0.181123395732,-0.340847491986,0.626527051487
jo.select,select,train,11,h9,89731,88633,1453,0.211943487152,0.20497091486,-0.235430988895,0.618032786885
jo.select,select,train,12,blend,89731,88633,1453,0.294325675647,0.306630354353,-0.224255569544,0.743501602149
jo.select,select,train,12,h6,89731,88999,1459,0.219279085774,0.230830248546,-0.389952406134,0.624114225278
jo.select,select,train,12,h9,89731,88633,1453,0.301600437906,0.311528291909,-0.202432575357,0.747805393971
jo.select,select,train,13,blend,89649,88515,1405,0.238536248593,0.249900986228,-0.334973597319,0.659769566171
jo.select,select,train,13,h6,89649,88893,1411,0.204469959098,0.208189324117,-0.411194316436,0.698348694316
jo.select,select,train,13,h9,89649,88515,1405,0.226499301649,0.238959293395,-0.465629800307,0.646361367127
jo.select,select,train,14,blend,91072,89920,1405,0.220379189255,0.222519895662,-0.298707400641,0.685295633885
jo.select,select,train,14,h6,91072,90304,1411,0.212520052541,0.220604395604,-0.27206959707,0.644642857143
jo.select,select,train,14,h9,91072,89920,1405,0.188769286144,0.193406593407,-0.25815018315,0.623855311355
jo.select,select,train,15,blend,91072,89920,1405,0.240268122483,0.250080140852,-0.284837731564,0.596040907527
jo.select,select,train,15,h6,91072,90304,1411,0.152687239037,0.156487894481,-0.207454724944,0.589423076923
jo.select,select,train,15,h9,91072,89920,1405,0.246498238369,0.264497813664,-0.349134033151,0.582139954783
jo.select,select,train,16,blend,91072,89920,1405,0.235085725724,0.238437586859,-0.27852187716,0.634354073502
jo.select,select,train,16,h6,91072,90304,1411,0.217106953996,0.219505494505,-0.320192307692,0.588003663004
