run,run_label,split,fold,metric,n_rows,n_valid_pairs,n_valid_dates,mean_ic,median_ic,min_ic,max_ic
jo.select,select,train,16,h9,91072,89920,1405,0.192234921069,0.191483516484,-0.305952380952,0.578983516484
jo.select,select,train,17,blend,88226,87110,1405,0.0962644065192,0.0972335899783,-0.387342125314,0.563618278144
jo.select,select,train,17,h6,88226,87482,1411,0.205163315397,0.210546196268,-0.337614263051,0.696809448264
jo.select,select,train,17,h9,88226,87110,1405,0.017228459419,0.0200700057918,-0.37589081111,0.432298355619
jo.select,select,train,18,blend,88226,87110,1405,0.290520666462,0.307045269719,-0.300141030372,0.638003139661
jo.select,select,train,18,h6,88226,87482,1411,0.260593971458,0.273853592204,-0.255873687391,0.681247009645
jo.select,select,train,18,h9,88226,87110,1405,0.273890406228,0.29007076125,-0.271939764801,0.656417617285
jo.select,select,train,19,blend,89649,88515,1405,0.252910261471,0.269965317615,-0.362206995727,0.698248862861
jo.select,select,train,19,h6,89649,88893,1411,0.227420125773,0.237183179724,-0.305203533026,0.706461213518
jo.select,select,train,19,h9,89649,88515,1405,0.206549527417,0.216061827957,-0.409898233487,0.671802995392
jo.select,select,train,20,blend,91072,89920,1405,0.168749085568,0.17334661401,-0.450951886329,0.629255192667
jo.select,select,train,20,h6,91072,90304,1411,0.240257408751,0.262362637363,-0.287728937729,0.628975022487
jo.select,select,train,20,h9,91072,89920,1405,0.0371054605949,0.0318681318681,-0.407554945055,0.502701465201
jo.select,select,train,21,blend,91202,90086,1453,0.220538783495,0.229402506715,-0.324438682893,0.645702426485
jo.select,select,train,21,h6,91202,90458,1459,0.280709362291,0.296013698975,-0.350205232807,0.69701090378
jo.select,select,train,21,h9,91202,90086,1453,0.0826847857394,0.0845357709451,-0.387021228375,0.496310845861
jo.select,select,train,22,blend,92673,91539,1453,0.131130314182,0.133742979368,-0.33929428865,0.527407376441
jo.select,select,train,22,h6,92673,91917,1459,0.127830799403,0.13047235023,-0.367415514593,0.542482718894
jo.select,select,train,22,h9,92673,91539,1453,-0.0535567930855,-0.0555875576037,-0.456557219662,0.369671658986
jo.select,select,train,23,blend,83601,82467,1309,0.240089112454,0.246576331109,-0.385112998083,0.595398412
jo.select,select,train,23,h6,83601,82845,1315,0.201918189343,0.209869431644,-0.360311059908,0.567012288786
jo.select,select,train,23,h9,83601,82467,1309,0.209507583623,0.218309690684,-0.189110372402,0.595345823954
jo.select,select,train,24,blend,83601,82467,1309,0.0114693943689,0.0173301489697,-0.344403773022,0.468698993999
jo.select,select,train,24,h6,83601,82845,1315,0.151378290492,0.161098310292,-0.31403609831,0.525585637481
jo.select,select,train,24,h9,83601,82467,1309,-0.0635085710451,-0.0630280337942,-0.479262672811,0.521313364055
jo.select,select,train,25,blend,82274,81158,1309,-0.190108123909,-0.194494122781,-0.631530568525,0.370303214515
jo.select,select,train,25,h6,82274,81530,1315,-0.164781599986,-0.173235286931,-0.654587577645,0.302928807456
jo.select,select,train,25,h9,82274,81158,1309,-0.124754265562,-0.130527853702,-0.585411918808,0.338793961662
jo.select,select,train,26,blend,82274,81158,1309,0.212668921869,0.218450148438,-0.298846524306,0.595638051729
jo.select,select,train,26,h6,82274,81530,1315,0.164789781635,0.169201712469,-0.271536853768,0.54345143663
jo.select,select,train,26,h9,82274,81158,1309,0.215604732441,0.227659065891,-0.232180405705,0.644110057278
jo.select,select,oos,0,blend,49837,48739,799,0.0538715655874,0.0540833598556,-0.360489256482,0.392850530875
jo.select,select,oos,0,h6,49837,49105,805,0.0476815645211,0.0527234267583,-0.439714436806,0.421628767848
jo.select,select,oos,0,h9,49837,48739,799,0.0480189870078,0.0502908514014,-0.313537810682,0.434214701216
jo.select,select,oos,1,blend,46909,45811,751,0.0367379802446,0.0320311057542,-0.28198650982,0.377614980956
jo.select,select,oos,1,h6,46909,46177,757,0.0478777296908,0.051189846642,-0.33765203596,0.409254362771
jo.select,select,oos,1,h9,46909,45811,751,0.00952905380522,0.00962453728186,-0.343257535695,0.393283976732
jo.select,select,oos,2,blend,47676,46560,751,0.024406648114,0.0210111113002,-0.354347903051,0.401395456791
jo.select,select,oos,2,h6,47676,46932,757,0.0215274399847,0.0121300173768,-0.349340889668,0.476699568182
jo.select,select,oos,2,h9,47676,46560,751,0.0175774317597,0.012428554758,-0.355421846734,0.457541970589
jo.select,select,oos,3,blend,46236,45120,751,0.0423839545943,0.0397048196733,-0.389874796173,0.434893771806
jo.select,select,oos,3,h6,46236,45492,757,0.0372304335832,0.0323978883023,-0.383495415393,0.478834579839
jo.select,select,oos,3,h9,46236,45120,751,0.0339689131767,0.0292303417616,-0.416226729647,0.431564323423
jo.select,select,oos,4,blend,51192,50058,799,0.0425258420857,0.0418007204809,-0.385137081784,0.461053695658
jo.select,select,oos,4,h6,51192,50436,805,0.0381653773613,0.0382010022412,-0.375096006144,0.463725416132
